# Result of the experimentation: segment1.arg

#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2           turb_en          turb_dis

                 0                 0                 0            124000               300                 1                 0                 0                 0                 0
                 0              0.01                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.02                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.03                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.04                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.05                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.06                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.07                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.08                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.09                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0        0.09999999                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.11                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.12                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.13                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.14                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.15                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.16                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
                 0              0.17                 0            124000               300                 1                 0                 0                 0                 0
                 0              0.18                 0            124000               300                 1                 0                 0                 0                 0
                 0              0.19                 0            124000               300                 1                 0                 0                 0                 0

              0.01                 0                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.01                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.02                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.03                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.04                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.05                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.06                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.07                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.08                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.09                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01        0.09999999                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.11                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.12                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.13                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
              0.01              0.14                 0              -nan              -nan              -nan              -nan              -nan              -nan              -nan
