# Result of the experimentation: segment4.arg

#              time         time_step            thrust

                 0             1e-07                 0
             1e-07             1e-07                 0
             2e-07             1e-07                 0
             3e-07             1e-07                 0
             4e-07             1e-07                 0
             5e-07             1e-07                 0
             6e-07             1e-07                 0
             7e-07             1e-07                 0
             8e-07             1e-07                 0
             9e-07             1e-07                 0
             1e-06             1e-07                 0
           1.1e-06             1e-07                 0
           1.2e-06             1e-07                 0
           1.3e-06             1e-07                 0
           1.4e-06             1e-07                 0
           1.5e-06             1e-07                 0
           1.6e-06             1e-07                 0
           1.7e-06             1e-07                 0
           1.8e-06      9.807446e-08                 0
      1.898074e-06      8.826967e-08                 0
      1.986344e-06      7.929164e-08                 0
      2.065636e-06      7.155519e-08                 0
      2.137191e-06      6.484307e-08    -2.752008e-153
      2.202034e-06      5.898417e-08    -9.441953e-150
      2.261018e-06      5.384218e-08     8.905444e-147
       2.31486e-06      4.930739e-08     9.989813e-144
      2.364168e-06      4.529061e-08    -1.361342e-142
      2.409458e-06      4.171869e-08     4.637113e-139
      2.451177e-06      3.853114e-08    -1.459735e-138
      2.489708e-06      3.567748e-08    -1.555227e-136
      2.525386e-06      3.311535e-08    -4.898254e-135
      2.558501e-06      3.080888e-08    -2.166773e-134
       2.58931e-06      2.872755e-08    -3.078531e-132
      2.618037e-06      2.684081e-08    -4.533741e-131
      2.644878e-06      2.512478e-08     -6.51275e-131
      2.670003e-06      2.356503e-08     7.688948e-130
      2.693568e-06      2.214462e-08    -4.809486e-129
      2.715713e-06      2.084874e-08    -8.609905e-128
      2.736561e-06      1.966439e-08     -5.15184e-127
      2.756226e-06      1.858015e-08    -3.509869e-126
      2.774806e-06      1.758592e-08    -7.410433e-126
      2.792392e-06      1.667277e-08     8.602035e-125
      2.809065e-06      1.583274e-08     2.836081e-124
      2.824897e-06      1.505879e-08    -2.999814e-124
      2.839956e-06      1.434461e-08    -6.673936e-124
      2.854301e-06      1.368222e-08     5.218454e-123
      2.867983e-06      1.306726e-08     1.990638e-122
       2.88105e-06      1.249683e-08    -2.983769e-121
      2.893547e-06      1.196661e-08     1.858398e-121
