# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 20
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 10
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 937000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

                 0             1e-08                 0            124000               300         0.8948761                 0                 0             1e-06             1e-06
             1e-08             1e-08                 0            124000               300         0.8948761      3.333333e-12      3.333333e-12             1e-06             1e-06
             2e-08             1e-08                 0            286600               640         0.9695243      6.666667e-12      6.666667e-12           2.8e-06           2.8e-06
             3e-08             1e-08                 0            124000               300         0.8948761             1e-11         0.9085057             1e-06             1e-06
             4e-08             1e-08                 0            449200               980         0.9923757      8.619152e-10         0.9085068           4.6e-06           4.6e-06
             5e-08             1e-08                 0            124001               300         0.8948842      1.713829e-09          2.725515      1.000025e-06      1.000036e-06
             6e-08             1e-08                 0            611800              1320          1.003455      4.262857e-09           2.72551           6.4e-06           6.4e-06
             7e-08             1e-08                 0          124005.1          300.0014         0.8949086      6.811841e-09          5.451008       1.00021e-06      1.000305e-06
             8e-08             1e-08                 0            774400              1660          1.009996      1.190631e-08           5.45098           8.2e-06           8.2e-06
             9e-08             1e-08                 0          124013.7           300.006         0.8949574       1.70006e-08          9.084947      1.000917e-06      1.001329e-06
             1e-07             1e-08                 0            855700              1830          1.012355      2.548843e-08          9.084871           9.1e-06           9.1e-06
           1.1e-07             1e-08                 0          124028.6          300.0146         0.8950387      3.397573e-08          13.17303      1.002839e-06      1.004119e-06
           1.2e-07             1e-08                 0            855700              1830          1.012355      4.627994e-08          13.17287           9.1e-06           9.1e-06
           1.3e-07             1e-08                 0          124050.5          300.0282         0.8951565      5.858305e-08          17.26092      1.006848e-06      1.009942e-06
           1.4e-07             1e-08                 0            855700              1830          1.012355      7.470181e-08          17.26064           9.1e-06           9.1e-06
           1.5e-07             1e-08                 0          124079.6          300.0467          0.895311      9.081867e-08          21.34855      1.013714e-06      1.019936e-06
           1.6e-07             1e-08                 0            855700              1830          1.012355      1.107495e-07           21.3481           9.1e-06           9.1e-06
           1.7e-07             1e-08                 0          124115.7            300.07          0.895502      1.306775e-07          25.43583      1.024233e-06        1.0353e-06
           1.8e-07             1e-08                 0            855700              1830          1.012355      1.544174e-07          25.43518           9.1e-06           9.1e-06
           1.9e-07             1e-08                 0          124158.9          300.0983         0.8957296      1.781532e-07          29.52269      1.039236e-06      1.057325e-06
