# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 1003
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 1000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 200000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

           4.4e-07             1e-08    -7.997411e-196            127268             373.1         0.8948886      2.771789e-09         0.1960818         1.387e-06         1.387e-06
           4.5e-07             1e-08     6.877293e-196          124002.1          300.0006         0.8948895      2.958174e-09          0.214755      1.000014e-06       1.00002e-06
           4.6e-07             1e-08     3.042068e-195            127420             376.5         0.8948905       3.16199e-09         0.2147433         1.405e-06         1.405e-06
           4.7e-07             1e-08     3.638655e-195          124002.4          300.0007         0.8948914      3.365783e-09          0.234264      1.000016e-06      1.000023e-06
           4.8e-07             1e-08     5.467547e-195            127572             379.9         0.8948925      3.587798e-09         0.2342505         1.423e-06         1.423e-06
           4.9e-07             1e-08    -1.202551e-195          124002.8          300.0009         0.8948935      3.809787e-09         0.2546185      1.000019e-06      1.000027e-06
             5e-07             1e-08    -1.158929e-194            127724             383.3         0.8948947      4.050786e-09          0.254603         1.441e-06         1.441e-06
           5.1e-07             1e-08    -6.469975e-196          124003.2           300.001         0.8948958      4.291756e-09         0.2758182      1.000022e-06      1.000032e-06
           5.2e-07             1e-08    -4.790551e-194            127876             386.7         0.8948971      4.552525e-09         0.2758005         1.459e-06         1.459e-06
           5.3e-07             1e-08    -8.659619e-194          124003.6          300.0012         0.8948983      4.813261e-09         0.2978628      1.000026e-06      1.000037e-06
