# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 20000
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 1000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 937000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

                 0             1e-08                 0            124000               300         0.8948761                 0                 0             1e-06             1e-06
             1e-08             1e-08                 0            124000               300         0.8948761      3.333333e-12      3.333333e-12             1e-06             1e-06
             2e-08             1e-08                 0            125626             303.4         0.8964507      6.666667e-12      6.666667e-12         1.018e-06         1.018e-06
             3e-08             1e-08                 0            124000               300         0.8948761             1e-11       0.009085057             1e-06             1e-06
             4e-08             1e-08                 0            127252             306.8         0.8979905      2.181919e-11       0.009085068         1.036e-06         1.036e-06
             5e-08             1e-08                 0            124000               300         0.8948762       3.36384e-11        0.02725515             1e-06             1e-06
             6e-08             1e-08                 0            128878             310.2         0.8994965      6.242926e-11         0.0272551         1.054e-06         1.054e-06
             7e-08             1e-08                 0          124000.1               300         0.8948764      9.122001e-11        0.05451008             1e-06             1e-06
             8e-08             1e-08                 0            130504             313.6         0.9009698       1.45468e-10         0.0545098         1.072e-06         1.072e-06
             9e-08             1e-08                 0          124000.1          300.0001         0.8948769      1.997154e-10        0.09084947      1.000001e-06      1.000001e-06
             1e-07             1e-08                 0            132130               317         0.9024115      2.879051e-10        0.09084871          1.09e-06          1.09e-06
           1.1e-07             1e-08                 0          124000.3          300.0001         0.8948777      3.760934e-10         0.1362728      1.000001e-06      1.000002e-06
           1.2e-07             1e-08                 0            133756             320.4         0.9038227      5.067085e-10         0.1362712         1.108e-06         1.108e-06
           1.3e-07             1e-08                 0          124000.5          300.0003         0.8948789      6.373206e-10         0.1907793      1.000003e-06      1.000004e-06
           1.4e-07             1e-08                 0            135382             323.8         0.9052042      8.188433e-10         0.1907764         1.126e-06         1.126e-06
           1.5e-07             1e-08                 0          124000.8          300.0005         0.8948806       1.00036e-09         0.2543681      1.000005e-06      1.000007e-06
           1.6e-07             1e-08                 0            137008             327.2          0.906557      1.241271e-09         0.2543634         1.144e-06         1.144e-06
           1.7e-07             1e-08                 0          124001.3          300.0007         0.8948829      1.482173e-09         0.3270381      1.000008e-06      1.000011e-06
           1.8e-07             1e-08                 0            138634             330.6         0.9078819      1.790949e-09         0.3270311         1.162e-06         1.162e-06
           1.9e-07             1e-08                 0          124001.8          300.0011         0.8948858      2.099712e-09          0.408788      1.000012e-06      1.000018e-06
             2e-07             1e-08                 0            140260               334         0.9091799       2.48483e-09         0.4087779          1.18e-06          1.18e-06
           2.1e-07             1e-08                 0          124002.5          300.0015         0.8948895      2.869929e-09         0.4996165      1.000019e-06      1.000027e-06
