# Result of the experimentation with args: 1
#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2           turb_en          turb_dis

                 0                 0                 0            124000               270                 1                 0                 0            0.0001            0.0001
                 0              0.01                 0          135245.9          292.8104                 1                 0         -129.8705            0.0001            0.0001
                 0              0.02                 0          146522.7          317.2248                 1                 0         -173.1581            0.0001            0.0001
                 0              0.03                 0          155180.1          335.9685                 1                 0         -173.1582            0.0001            0.0001
                 0              0.04                 0          163837.5          354.7122         0.9999996                 0          -173.158            0.0001            0.0001
                 0              0.05                 0          172495.2           373.456                 1                 0          -173.158            0.0001            0.0001
                 0              0.06                 0          181152.6          392.1996                 1                 0         -173.1581            0.0001            0.0001
                 0              0.07                 0          189810.1          410.9433         0.9999996                 0          -173.158            0.0001            0.0001
                 0              0.08                 0          198467.8          429.6871                 1                 0         -173.1581            0.0001            0.0001
                 0              0.09                 0          207125.2          448.4308                 1                 0         -173.1582            0.0001            0.0001
                 0        0.09999999                 0          215782.6          467.1745         0.9999996                 0          -173.158            0.0001            0.0001
                 0              0.11                 0          224440.2          485.9182                 1                 0          -173.158            0.0001            0.0001
                 0              0.12                 0          233097.7          504.6619                 1                 0          -173.158            0.0001            0.0001
                 0              0.13                 0          241755.4          523.4057                 1                 0          -173.158            0.0001            0.0001
                 0              0.14                 0          250412.8          542.1493                 1                 0         -173.1581            0.0001            0.0001
                 0              0.15                 0          259070.3          560.8931                 1                 0          -173.158            0.0001            0.0001
                 0              0.16                 0          267727.9          579.6369                 1                 0         -173.1581            0.0001            0.0001
                 0              0.17                 0            276385          598.3803         0.9999992                 0         -173.1583            0.0001            0.0001
                 0              0.18                 0          285042.9          617.1243                 1                 0         -173.1581            0.0001            0.0001
                 0              0.19                 0          293700.7          635.8682          1.000001                 0         -173.1581            0.0001            0.0001
                 0               0.2                 0          302357.6          654.6115         0.9999992                 0         -173.1581            0.0001            0.0001
                 0              0.21                 0          311015.4          673.3554                 1                 0         -173.1579            0.0001            0.0001
                 0              0.22                 0          319673.2          692.0993          1.000001                 0         -173.1581            0.0001            0.0001
                 0              0.23                 0          328330.1          710.8426         0.9999992                 0         -173.1581            0.0001            0.0001
                 0              0.24                 0          336987.6          729.5864         0.9999992                 0          -173.158            0.0001            0.0001
                 0              0.25                 0          345645.8          748.3305          1.000001                 0         -173.1579            0.0001            0.0001
                 0              0.26                 0          354303.3          767.0742          1.000001                 0         -173.1581            0.0001            0.0001
                 0              0.27                 0          362960.1          785.8175         0.9999992                 0         -173.1581            0.0001            0.0001
                 0              0.28                 0            371618          804.5614                 1                 0         -173.1579            0.0001            0.0001
                 0              0.29                 0          380275.9          823.3054          1.000001                 0         -173.1582            0.0001            0.0001
                 0               0.3                 0          388932.6          842.0487         0.9999992                 0         -173.1583            0.0001            0.0001
                 0              0.31                 0          397590.6          860.7926                 1                 0         -173.1579            0.0001            0.0001
                 0              0.32                 0          406248.5          879.5366          1.000001                 0         -173.1581            0.0001            0.0001
                 0              0.33                 0          414905.1          898.2798         0.9999992                 0         -173.1581            0.0001            0.0001
                 0              0.34                 0          423563.1          917.0238                 1                 0         -173.1579            0.0001            0.0001
                 0              0.35                 0          432221.1          935.7677          1.000001                 0         -173.1581            0.0001            0.0001
                 0              0.36                 0          440877.6          954.5109         0.9999992                 0         -173.1581            0.0001            0.0001
                 0              0.37                 0          449535.7          973.2549                 1                 0         -173.1579            0.0001            0.0001
                 0              0.38                 0          458193.6          991.9989          1.000001                 0         -173.1581            0.0001            0.0001
                 0              0.39                 0          466850.2          1010.742         0.9999992                 0         -173.1581            0.0001            0.0001
