# Result of the experimentation with args: 1
#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2

                 0                99                 0          981170.8          2125.628                 1                 0          -0.49799
                 0               100                 0          989829.1          2144.372                 1                 0          -0.50301
                 0               101                 0          998487.5          2163.115                 1                 0        -0.5080302
                 0               102                 0           1007146          2181.859                 1                 0        -0.5130503
                 0               103                 0           1015804          2200.603                 1                 0        -0.5180703
                 0               104                 0           1024462          2219.347                 1                 0        -0.5230905
                 0               105                 0           1033121           2238.09                 1                 0        -0.5281106
                 0               106                 0           1041779          2256.834                 1                 0        -0.5331306
                 0               107                 0           1050437          2275.578                 1                 0        -0.5381508
                 0               108                 0           1059096          2294.322                 1                 0        -0.5431709
                 0               109                 0           1067754          2313.065                 1                 0         -0.548191
                 0               110                 0           1076412          2331.809                 1                 0         -0.553211
                 0               111                 0           1085070          2350.553                 1                 0        -0.5582311
                 0               112                 0           1093729          2369.296                 1                 0        -0.5632513
                 0               113                 0           1102387           2388.04                 1                 0        -0.5682713
                 0               114                 0           1111045          2406.784                 1                 0        -0.5732915
                 0               115                 0           1119704          2425.528                 1                 0        -0.5783116
                 0               116                 0           1128362          2444.271                 1                 0        -0.5833316
                 0               117                 0           1137020          2463.015                 1                 0        -0.5883518
                 0               118                 0           1145678          2481.759                 1                 0        -0.5933719
                 0               119                 0           1154337          2500.502                 1                 0         -0.598392
                 0               120                 0           1162995          2519.246                 1                 0        -0.6034121
                 0               121                 0           1171653           2537.99                 1                 0        -0.6084322
                 0               122                 0           1180312          2556.734                 1                 0        -0.6134523
                 0               123                 0           1188970          2575.477                 1                 0        -0.6184723
                 0               124                 0           1197628          2594.221                 1                 0        -0.6234924
                 0               125                 0           1206286          2612.965                 1                 0        -0.6285126
                 0               126                 0           1214945          2631.708                 1                 0        -0.6335326
                 0               127                 0           1223603          2650.452                 1                 0        -0.6385528
                 0               128                 0           1232261          2669.196                 1                 0        -0.6435729
                 0               129                 0           1240920           2687.94                 1                 0         -0.648593
                 0               130                 0           1249578          2706.683                 1                 0        -0.6536131
                 0               131                 0           1258236          2725.427                 1                 0        -0.6586331
                 0               132                 0           1266894          2744.171                 1                 0        -0.6636533
                 0               133                 0           1275553          2762.915                 1                 0        -0.6686733
                 0               134                 0           1284211          2781.658                 1                 0        -0.6736935
                 0               135                 0           1292869          2800.402                 1                 0        -0.6787136
                 0               136                 0           1301528          2819.146                 1                 0        -0.6837337
                 0               137                 0           1310186          2837.889                 1                 0        -0.6887537
                 0               138                 0           1318844          2856.633                 1                 0        -0.6937739
                 0               139                 0           1327502          2875.377                 1                 0        -0.6987939
                 0               140                 0           1336161          2894.121                 1                 0        -0.7038141
                 0               141                 0           1315616          2849.644                 1                 0         -0.691902
                 0               142                 0           1295070          2805.167                 1                 0        -0.6799899
                 0               143                 0           1274525          2760.691                 1                 0        -0.6680778
                 0               144                 0           1253980          2716.214                 1                 0        -0.6561657
                 0               145                 0           1233435          2671.738                 1                 0        -0.6442536
                 0               146                 0           1212890          2627.261                 1                 0        -0.6323415
                 0               147                 0           1192345          2582.784                 1                 0        -0.6204293
                 0               148                 0           1171800          2538.308                 1                 0        -0.6085173
                 0               149                 0           1151255          2493.831                 1                 0        -0.5966051
                 0               150                 0           1130710          2449.354                 1                 0         -0.584693
